qseqid	General functional category	Functional category	DB ID	Protein description	DB description	CDD ID	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
tr|F4BZ82|F4BZ82_METSG	POORLY CHARACTERIZED	General function prediction only 	KOG1819	FYVE finger-containing proteins	KOG1819, FYVE finger-containing proteins [General function prediction only]	CDD:229758	21.339	239	165	6	1158	1391	295	515	1.99e-06	51.3
tr|F4BZ87|F4BZ87_METSG	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	KOG0102	Molecular chaperones mortalin/PBP74/GRP75, HSP70 superfamily	KOG0102, Molecular chaperones mortalin/PBP74/GRP75, HSP70 superfamily [Posttranslational modification, protein turnover, chaperones]	CDD:228053	56.551	603	231	3	3	578	28	626	0.0	759.0
tr|F4BZ87|F4BZ87_METSG	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	KOG0100	Molecular chaperones GRP78/BiP/KAR2, HSP70 superfamily	KOG0100, Molecular chaperones GRP78/BiP/KAR2, HSP70 superfamily [Posttranslational modification, protein turnover, chaperones]	CDD:228051	48.22	618	270	14	1	578	35	642	0.0	595.0
tr|F4BZ87|F4BZ87_METSG	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	KOG0101	Molecular chaperones HSP70/HSC70, HSP70 superfamily	KOG0101, Molecular chaperones HSP70/HSC70, HSP70 superfamily [Posttranslational modification, protein turnover, chaperones]	CDD:228052	44.084	617	297	10	1	578	6	613	9.33e-168	490.0
tr|F4BZ87|F4BZ87_METSG	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	KOG0103	Molecular chaperones HSP105/HSP110/SSE1, HSP70 superfamily	KOG0103, Molecular chaperones HSP105/HSP110/SSE1, HSP70 superfamily [Posttranslational modification, protein turnover, chaperones]	CDD:228054	27.04	625	369	16	1	549	1	614	9.46e-62	215.0
tr|F4BZ87|F4BZ87_METSG	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	KOG0104	Molecular chaperones GRP170/SIL1, HSP70 superfamily	KOG0104, Molecular chaperones GRP170/SIL1, HSP70 superfamily [Posttranslational modification, protein turnover, chaperones]	CDD:228055	25.738	610	365	17	4	550	24	608	6.3e-53	193.0
tr|F4BZ89|F4BZ89_METSG	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	KOG0361	Chaperonin complex component, TCP-1 eta subunit (CCT7)	KOG0361, Chaperonin complex component, TCP-1 eta subunit (CCT7) [Posttranslational modification, protein turnover, chaperones]	CDD:228310	37.615	545	325	6	8	543	5	543	1.25e-136	404.0
tr|F4BZ89|F4BZ89_METSG	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	KOG0358	Chaperonin complex component, TCP-1 delta subunit (CCT4)	KOG0358, Chaperonin complex component, TCP-1 delta subunit (CCT4) [Posttranslational modification, protein turnover, chaperones]	CDD:228307	36.347	531	324	6	1	521	8	534	1.9600000000000002e-122	368.0
tr|F4BZ89|F4BZ89_METSG	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	KOG0364	Chaperonin complex component, TCP-1 gamma subunit (CCT3)	KOG0364, Chaperonin complex component, TCP-1 gamma subunit (CCT3) [Posttranslational modification, protein turnover, chaperones]	CDD:228313	37.931	522	318	5	6	522	2	522	9.55e-118	356.0
tr|F4BZ89|F4BZ89_METSG	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	KOG0363	Chaperonin complex component, TCP-1 beta subunit (CCT2)	KOG0363, Chaperonin complex component, TCP-1 beta subunit (CCT2) [Posttranslational modification, protein turnover, chaperones]	CDD:228312	36.932	528	320	7	8	527	3	525	1.7e-117	355.0
tr|F4BZ89|F4BZ89_METSG	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	KOG0360	Chaperonin complex component, TCP-1 alpha subunit (CCT1)	KOG0360, Chaperonin complex component, TCP-1 alpha subunit (CCT1) [Posttranslational modification, protein turnover, chaperones]	CDD:228309	38.476	538	306	7	15	530	11	545	1.1999999999999999e-113	346.0
tr|F4BZ89|F4BZ89_METSG	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	KOG0362	Chaperonin complex component, TCP-1 theta subunit (CCT8)	KOG0362, Chaperonin complex component, TCP-1 theta subunit (CCT8) [Posttranslational modification, protein turnover, chaperones]	CDD:228311	34.091	528	338	7	12	535	14	535	3.98e-104	321.0
tr|F4BZ89|F4BZ89_METSG	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	KOG0359	Chaperonin complex component, TCP-1 zeta subunit (CCT6)	KOG0359, Chaperonin complex component, TCP-1 zeta subunit (CCT6) [Posttranslational modification, protein turnover, chaperones]	CDD:228308	34.462	502	315	7	28	522	22	516	1.56e-91	287.0
tr|F4BZ89|F4BZ89_METSG	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	KOG0357	Chaperonin complex component, TCP-1 epsilon subunit (CCT5)	KOG0357, Chaperonin complex component, TCP-1 epsilon subunit (CCT5) [Posttranslational modification, protein turnover, chaperones]	CDD:228306	30.377	530	231	6	1	525	4	400	3.6600000000000003e-72	233.0
tr|F4BZ89|F4BZ89_METSG	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	KOG0356	Mitochondrial chaperonin, Cpn60/Hsp60p	KOG0356, Mitochondrial chaperonin, Cpn60/Hsp60p [Posttranslational modification, protein turnover, chaperones]	CDD:228305	23.582	564	338	18	21	530	22	546	1.54e-26	110.0
tr|F4BZ89|F4BZ89_METSG	CELLULAR PROCESSES AND SIGNALING	Signal transduction mechanisms 	KOG0230	Phosphatidylinositol-4-phosphate 5-kinase and related FYVE finger-containing proteins	KOG0230, Phosphatidylinositol-4-phosphate 5-kinase and related FYVE finger-containing proteins [Signal transduction mechanisms]	CDD:228179	28.78	205	126	4	189	386	357	548	7.769999999999999e-23	101.0
tr|F4BZB4|F4BZB4_METSG	POORLY CHARACTERIZED	General function prediction only 	KOG3086	Predicted dioxygenase	KOG3086, Predicted dioxygenase [General function prediction only]	CDD:231024	30.472	233	120	14	15	219	46	264	3.69e-17	76.3
tr|F4BZB5|F4BZB5_METSG	INFORMATION STORAGE AND PROCESSING	Translation, ribosomal structure and biogenesis 	KOG0830	40S ribosomal protein SA (P40)/Laminin receptor 1	KOG0830, 40S ribosomal protein SA (P40)/Laminin receptor 1 [Translation, ribosomal structure and biogenesis]	CDD:228776	43.506	154	86	1	38	190	5	158	2.84e-45	148.0
tr|F4BZB5|F4BZB5_METSG	INFORMATION STORAGE AND PROCESSING	Translation, ribosomal structure and biogenesis 	KOG0832	Mitochondrial/chloroplast ribosomal protein S2	KOG0832, Mitochondrial/chloroplast ribosomal protein S2 [Translation, ribosomal structure and biogenesis]	CDD:228778	25.366	205	128	6	14	196	45	246	3.35e-16	72.1
tr|F4BZC4|F4BZC4_METSG	METABOLISM	Amino acid transport and metabolism 	KOG0257	Kynurenine aminotransferase, glutamine transaminase K	KOG0257, Kynurenine aminotransferase, glutamine transaminase K [Amino acid transport and metabolism]	CDD:228206	28.682	129	72	5	17	126	50	177	2.82e-09	55.9
tr|F4BZC4|F4BZC4_METSG	METABOLISM	Amino acid transport and metabolism 	KOG1549	Cysteine desulfurase NFS1	KOG1549, Cysteine desulfurase NFS1 [Amino acid transport and metabolism]	CDD:229490	22.603	146	92	5	33	162	85	225	2.67e-07	49.7
tr|F4BZC4|F4BZC4_METSG	METABOLISM	Amino acid transport and metabolism 	KOG0053	Cystathionine beta-lyases/cystathionine gamma-synthases	KOG0053, Cystathionine beta-lyases/cystathionine gamma-synthases [Amino acid transport and metabolism]	CDD:228004	19.212	203	114	9	31	208	75	252	0.000312	40.0
tr|F4BZD3|F4BZD3_METSG	CELLULAR PROCESSES AND SIGNALING	Cell wall/membrane/envelope biogenesis 	KOG1322	GDP-mannose pyrophosphorylase/mannose-1-phosphate guanylyltransferase	KOG1322, GDP-mannose pyrophosphorylase/mannose-1-phosphate guanylyltransferase [Cell wall/membrane/envelope biogenesis]	CDD:229264	28.052	385	226	13	5	364	11	369	3.31e-41	147.0
tr|F4BZD3|F4BZD3_METSG	METABOLISM	Carbohydrate transport and metabolism 	KOG1460	GDP-mannose pyrophosphorylase	KOG1460, GDP-mannose pyrophosphorylase [Carbohydrate transport and metabolism, Cell wall/membrane/envelope biogenesis, Posttranslational modification, protein turnover, chaperones]	CDD:229401	25.485	412	254	13	4	381	3	395	5.5700000000000006e-27	108.0
tr|F4BZD3|F4BZD3_METSG	INFORMATION STORAGE AND PROCESSING	Translation, ribosomal structure and biogenesis 	KOG1462	Translation initiation factor 2B, gamma subunit (eIF-2Bgamma/GCD1)	KOG1462, Translation initiation factor 2B, gamma subunit (eIF-2Bgamma/GCD1) [Translation, ribosomal structure and biogenesis]	CDD:229403	21.875	448	239	21	1	367	7	424	2.64e-21	92.9
tr|F4BZD3|F4BZD3_METSG	INFORMATION STORAGE AND PROCESSING	Translation, ribosomal structure and biogenesis 	KOG1461	Translation initiation factor 2B, epsilon subunit (eIF-2Bepsilon/GCD6)	KOG1461, Translation initiation factor 2B, epsilon subunit (eIF-2Bepsilon/GCD6) [Translation, ribosomal structure and biogenesis]	CDD:229402	19.725	436	252	19	4	387	25	414	7.82e-17	80.2
tr|F4BZF7|F4BZF7_METSG	METABOLISM	Inorganic ion transport and metabolism 	KOG0876	Manganese superoxide dismutase	KOG0876, Manganese superoxide dismutase [Inorganic ion transport and metabolism]	CDD:228822	38.278	209	115	7	6	204	27	231	2.34e-57	178.0
tr|F4BZI4|F4BZI4_METSG	METABOLISM	Lipid transport and metabolism 	KOG2480	3-hydroxy-3-methylglutaryl-CoA (HMG-CoA) reductase	KOG2480, 3-hydroxy-3-methylglutaryl-CoA (HMG-CoA) reductase [Lipid transport and metabolism]	CDD:230419	24.74	384	230	13	48	395	239	599	1.22e-12	67.1
tr|F4BZJ9|F4BZJ9_METSG	INFORMATION STORAGE AND PROCESSING	Transcription 	KOG3398	Transcription factor MBF1	KOG3398, Transcription factor MBF1 [Transcription]	CDD:231336	40.385	52	30	1	29	80	75	125	0.000286	37.5
tr|F4BZK0|F4BZK0_METSG	METABOLISM	Lipid transport and metabolism 	KOG1393	Hydroxymethylglutaryl-CoA synthase	KOG1393, Hydroxymethylglutaryl-CoA synthase [Lipid transport and metabolism]	CDD:229335	21.622	333	186	12	42	307	52	376	1.09e-10	60.2
tr|F4BZK1|F4BZK1_METSG	METABOLISM	Lipid transport and metabolism 	KOG1406	Peroxisomal 3-ketoacyl-CoA-thiolase P-44/SCP2	KOG1406, Peroxisomal 3-ketoacyl-CoA-thiolase P-44/SCP2 [Lipid transport and metabolism]	CDD:229348	33.753	397	240	7	4	385	8	396	1.6699999999999997e-67	217.0
tr|F4BZK1|F4BZK1_METSG	METABOLISM	Lipid transport and metabolism 	KOG1390	Acetyl-CoA acetyltransferase	KOG1390, Acetyl-CoA acetyltransferase [Lipid transport and metabolism]	CDD:229332	24.242	429	237	18	1	382	5	392	5.84e-16	76.3
tr|F4BZK1|F4BZK1_METSG	METABOLISM	Lipid transport and metabolism 	KOG1391	Acetyl-CoA acetyltransferase	KOG1391, Acetyl-CoA acetyltransferase [Lipid transport and metabolism]	CDD:229333	20.141	427	247	15	2	377	4	387	3.13e-07	49.5
tr|F4BZK1|F4BZK1_METSG	METABOLISM	Lipid transport and metabolism 	KOG1389	3-oxoacyl CoA thiolase	KOG1389, 3-oxoacyl CoA thiolase [Lipid transport and metabolism]	CDD:229331	20.106	378	231	12	34	373	73	417	2.66e-06	46.8
tr|F4BZK1|F4BZK1_METSG	METABOLISM	Lipid transport and metabolism 	KOG1392	Acetyl-CoA acetyltransferase	KOG1392, Acetyl-CoA acetyltransferase [Lipid transport and metabolism]	CDD:229334	22.506	391	232	14	24	359	68	442	2.86e-06	46.5
tr|F4BZQ3|F4BZQ3_METSG	METABOLISM	Amino acid transport and metabolism 	KOG2448	Dihydroxy-acid dehydratase	KOG2448, Dihydroxy-acid dehydratase [Amino acid transport and metabolism]	CDD:230387	44.708	548	283	7	16	550	54	594	7.07e-164	476.0
tr|F4BZQ8|F4BZQ8_METSG	METABOLISM	Coenzyme transport and metabolism 	KOG2876	Molybdenum cofactor biosynthesis pathway protein	KOG2876, Molybdenum cofactor biosynthesis pathway protein [Coenzyme transport and metabolism]	CDD:230815	24.096	166	106	8	86	246	18	168	1.66e-05	43.7
tr|F4BZY1|F4BZY1_METSG	POORLY CHARACTERIZED	General function prediction only 	KOG3867	Sulfatase	KOG3867, Sulfatase [General function prediction only]	CDD:231799	22.163	564	303	22	107	636	30	491	8.51e-47	172.0
tr|F4BZY1|F4BZY1_METSG	METABOLISM	Carbohydrate transport and metabolism 	KOG3731	Sulfatases	KOG3731, Sulfatases [Carbohydrate transport and metabolism]	CDD:231663	21.515	330	194	16	102	414	30	311	4.62e-16	79.5
tr|F4C004|F4C004_METSG	METABOLISM	Inorganic ion transport and metabolism 	KOG0560	Sulfite reductase (ferredoxin)	KOG0560, Sulfite reductase (ferredoxin) [Inorganic ion transport and metabolism]	CDD:228508	20.079	254	146	8	19	217	138	389	6.08e-12	61.8
tr|F4C004|F4C004_METSG	METABOLISM	Inorganic ion transport and metabolism 	KOG0560	Sulfite reductase (ferredoxin)	KOG0560, Sulfite reductase (ferredoxin) [Inorganic ion transport and metabolism]	CDD:228508	23.762	202	136	7	27	217	436	630	2.21e-08	51.4
tr|F4C025|F4C025_METSG	METABOLISM	Amino acid transport and metabolism 	KOG1185	Thiamine pyrophosphate-requiring enzyme	KOG1185, Thiamine pyrophosphate-requiring enzyme [Amino acid transport and metabolism, Coenzyme transport and metabolism]	CDD:229127	28.037	107	67	4	304	407	245	344	0.00029	40.4
tr|F4C035|F4C035_METSG	INFORMATION STORAGE AND PROCESSING	Translation, ribosomal structure and biogenesis 	KOG1461	Translation initiation factor 2B, epsilon subunit (eIF-2Bepsilon/GCD6)	KOG1461, Translation initiation factor 2B, epsilon subunit (eIF-2Bepsilon/GCD6) [Translation, ribosomal structure and biogenesis]	CDD:229402	25.287	87	54	4	30	115	351	427	0.000329	38.2
tr|F4C097|F4C097_METSG	METABOLISM	Amino acid transport and metabolism 	KOG0257	Kynurenine aminotransferase, glutamine transaminase K	KOG0257, Kynurenine aminotransferase, glutamine transaminase K [Amino acid transport and metabolism]	CDD:228206	31.152	382	216	10	29	365	36	415	2.79e-82	254.0
tr|F4C097|F4C097_METSG	METABOLISM	Amino acid transport and metabolism 	KOG0259	Tyrosine aminotransferase	KOG0259, Tyrosine aminotransferase [Amino acid transport and metabolism]	CDD:228208	30.06	336	203	13	56	364	98	428	2.2499999999999997e-42	150.0
tr|F4C097|F4C097_METSG	METABOLISM	Amino acid transport and metabolism 	KOG0258	Alanine aminotransferase	KOG0258, Alanine aminotransferase [Amino acid transport and metabolism]	CDD:228207	27.506	389	192	22	31	348	82	451	1.04e-30	119.0
tr|F4C097|F4C097_METSG	METABOLISM	Amino acid transport and metabolism 	KOG0634	Aromatic amino acid aminotransferase and related proteins	KOG0634, Aromatic amino acid aminotransferase and related proteins [Amino acid transport and metabolism]	CDD:228581	20.69	377	225	15	57	367	96	464	4.0599999999999995e-23	97.9
tr|F4C097|F4C097_METSG	METABOLISM	Amino acid transport and metabolism 	KOG0633	Histidinol phosphate aminotransferase	KOG0633, Histidinol phosphate aminotransferase [Amino acid transport and metabolism]	CDD:228580	26.154	260	176	7	83	330	85	340	9.55e-16	75.3
tr|F4C097|F4C097_METSG	CELLULAR PROCESSES AND SIGNALING	Signal transduction mechanisms 	KOG0256	1-aminocyclopropane-1-carboxylate synthase, and related proteins	KOG0256, 1-aminocyclopropane-1-carboxylate synthase, and related proteins [Signal transduction mechanisms]	CDD:228205	23.46	341	223	13	62	367	122	459	1.33e-15	75.5
tr|F4C097|F4C097_METSG	METABOLISM	Amino acid transport and metabolism 	KOG1368	Threonine aldolase	KOG1368, Threonine aldolase [Amino acid transport and metabolism]	CDD:229310	20.652	276	162	8	36	299	31	261	6.33e-05	42.1
tr|F4C097|F4C097_METSG	METABOLISM	Amino acid transport and metabolism 	KOG0053	Cystathionine beta-lyases/cystathionine gamma-synthases	KOG0053, Cystathionine beta-lyases/cystathionine gamma-synthases [Amino acid transport and metabolism]	CDD:228004	19.469	113	74	5	89	195	98	199	0.000334	40.0
tr|F4C097|F4C097_METSG	METABOLISM	Amino acid transport and metabolism 	KOG1549	Cysteine desulfurase NFS1	KOG1549, Cysteine desulfurase NFS1 [Amino acid transport and metabolism]	CDD:229490	22.099	181	108	6	22	194	62	217	0.000373	39.7
tr|F4C0E8|F4C0E8_METSG	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	KOG0855	Alkyl hydroperoxide reductase, thiol specific antioxidant and related enzymes	KOG0855, Alkyl hydroperoxide reductase, thiol specific antioxidant and related enzymes [Posttranslational modification, protein turnover, chaperones]	CDD:228801	35.971	139	82	4	2	139	63	195	1.8e-31	110.0
tr|F4C0E8|F4C0E8_METSG	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	KOG0852	Alkyl hydroperoxide reductase, thiol specific antioxidant and related enzymes	KOG0852, Alkyl hydroperoxide reductase, thiol specific antioxidant and related enzymes [Posttranslational modification, protein turnover, chaperones]	CDD:228798	35.417	144	75	5	1	133	3	139	1.61e-19	78.6
tr|F4C0E8|F4C0E8_METSG	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	KOG0854	Alkyl hydroperoxide reductase, thiol specific antioxidant and related enzymes	KOG0854, Alkyl hydroperoxide reductase, thiol specific antioxidant and related enzymes [Posttranslational modification, protein turnover, chaperones]	CDD:228800	25.532	141	90	3	2	130	6	143	1.27e-11	57.9
tr|F4C0F9|F4C0F9_METSG	METABOLISM	Amino acid transport and metabolism 	KOG0454	3-isopropylmalate dehydratase (aconitase superfamily)	KOG0454, 3-isopropylmalate dehydratase (aconitase superfamily) [Amino acid transport and metabolism]	CDD:228403	35.088	171	87	7	10	159	295	462	4.37e-23	92.3
tr|F4C0F9|F4C0F9_METSG	METABOLISM	Energy production and conversion 	KOG0453	Aconitase/homoaconitase (aconitase superfamily)	KOG0453, Aconitase/homoaconitase (aconitase superfamily) [Energy production and conversion, Amino acid transport and metabolism]	CDD:228402	47.826	69	33	3	53	118	656	724	8.6e-19	79.9
tr|F4C0F9|F4C0F9_METSG	INFORMATION STORAGE AND PROCESSING	RNA processing and modification 	KOG0452	RNA-binding translational regulator IRP (aconitase superfamily)	KOG0452, RNA-binding translational regulator IRP (aconitase superfamily) [RNA processing and modification, Translation, ribosomal structure and biogenesis]	CDD:228401	40.385	52	24	3	53	100	771	819	1.86e-06	44.4
tr|F4C0G0|F4C0G0_METSG	METABOLISM	Amino acid transport and metabolism 	KOG0785	Isocitrate dehydrogenase, alpha subunit	KOG0785, Isocitrate dehydrogenase, alpha subunit [Amino acid transport and metabolism]	CDD:228732	33.693	371	204	7	2	370	35	365	7.13e-87	265.0
tr|F4C0G0|F4C0G0_METSG	METABOLISM	Amino acid transport and metabolism 	KOG0786	3-isopropylmalate dehydrogenase	KOG0786, 3-isopropylmalate dehydrogenase [Amino acid transport and metabolism]	CDD:228733	32.376	383	216	11	3	371	5	358	1.34e-68	217.0
tr|F4C0G0|F4C0G0_METSG	METABOLISM	Amino acid transport and metabolism 	KOG0784	Isocitrate dehydrogenase, gamma subunit	KOG0784, Isocitrate dehydrogenase, gamma subunit [Amino acid transport and metabolism]	CDD:228731	31.522	368	203	12	1	363	41	364	3.1000000000000003e-56	186.0
tr|F4C0G2|F4C0G2_METSG	INFORMATION STORAGE AND PROCESSING	Transcription 	KOG0214	RNA polymerase II, second largest subunit	KOG0214, RNA polymerase II, second largest subunit [Transcription]	CDD:228163	35.861	488	281	10	9	464	10	497	2.8e-108	345.0
tr|F4C0G2|F4C0G2_METSG	INFORMATION STORAGE AND PROCESSING	Transcription 	KOG0215	RNA polymerase III, second largest subunit	KOG0215, RNA polymerase III, second largest subunit [Transcription]	CDD:228164	30.952	504	323	12	3	488	45	541	1.49e-83	277.0
tr|F4C0G2|F4C0G2_METSG	INFORMATION STORAGE AND PROCESSING	Transcription 	KOG0216	RNA polymerase I, second largest subunit	KOG0216, RNA polymerase I, second largest subunit [Transcription]	CDD:228165	24.203	533	322	19	16	489	17	526	1.14e-43	162.0
tr|F4C0G3|F4C0G3_METSG	INFORMATION STORAGE AND PROCESSING	Transcription 	KOG0215	RNA polymerase III, second largest subunit	KOG0215, RNA polymerase III, second largest subunit [Transcription]	CDD:228164	44.538	595	324	1	1	595	562	1150	0.0	621.0
tr|F4C0G3|F4C0G3_METSG	INFORMATION STORAGE AND PROCESSING	Transcription 	KOG0214	RNA polymerase II, second largest subunit	KOG0214, RNA polymerase II, second largest subunit [Transcription]	CDD:228163	45.075	599	319	4	2	591	540	1137	0.0	614.0
tr|F4C0G3|F4C0G3_METSG	INFORMATION STORAGE AND PROCESSING	Transcription 	KOG0216	RNA polymerase I, second largest subunit	KOG0216, RNA polymerase I, second largest subunit [Transcription]	CDD:228165	33.226	623	333	15	1	594	543	1111	3.75e-133	414.0
tr|F4C0G5|F4C0G5_METSG	INFORMATION STORAGE AND PROCESSING	Transcription 	KOG0261	RNA polymerase III, large subunit	KOG0261, RNA polymerase III, large subunit [Transcription]	CDD:228210	39.276	359	199	7	34	375	1003	1359	2.29e-87	285.0
tr|F4C0G5|F4C0G5_METSG	INFORMATION STORAGE AND PROCESSING	Transcription 	KOG0260	RNA polymerase II, large subunit	KOG0260, RNA polymerase II, large subunit [Transcription]	CDD:228209	32.419	401	216	10	25	375	1022	1417	1.29e-75	252.0
tr|F4C0G5|F4C0G5_METSG	INFORMATION STORAGE AND PROCESSING	Transcription 	KOG0262	RNA polymerase I, large subunit	KOG0262, RNA polymerase I, large subunit [Transcription]	CDD:228211	23.152	514	230	11	21	370	1116	1628	2.5999999999999997e-42	156.0
tr|F4C0J4|F4C0J4_METSG	METABOLISM	Amino acid transport and metabolism 	KOG0785	Isocitrate dehydrogenase, alpha subunit	KOG0785, Isocitrate dehydrogenase, alpha subunit [Amino acid transport and metabolism]	CDD:228732	42.697	267	132	6	96	354	82	335	2.8e-75	236.0
tr|F4C0J4|F4C0J4_METSG	METABOLISM	Amino acid transport and metabolism 	KOG0784	Isocitrate dehydrogenase, gamma subunit	KOG0784, Isocitrate dehydrogenase, gamma subunit [Amino acid transport and metabolism]	CDD:228731	38.571	280	141	10	88	353	79	341	5.92e-56	186.0
tr|F4C0J4|F4C0J4_METSG	METABOLISM	Amino acid transport and metabolism 	KOG0786	3-isopropylmalate dehydrogenase	KOG0786, 3-isopropylmalate dehydrogenase [Amino acid transport and metabolism]	CDD:228733	27.187	320	204	9	55	353	17	328	7.4999999999999996e-34	127.0
tr|F4C0J8|F4C0J8_METSG	METABOLISM	Energy production and conversion 	KOG0453	Aconitase/homoaconitase (aconitase superfamily)	KOG0453, Aconitase/homoaconitase (aconitase superfamily) [Energy production and conversion, Amino acid transport and metabolism]	CDD:228402	28.035	453	287	14	11	428	59	507	6.079999999999999e-67	225.0
tr|F4C0J8|F4C0J8_METSG	METABOLISM	Amino acid transport and metabolism 	KOG0454	3-isopropylmalate dehydratase (aconitase superfamily)	KOG0454, 3-isopropylmalate dehydratase (aconitase superfamily) [Amino acid transport and metabolism]	CDD:228403	19.501	441	319	11	9	421	65	497	1.48e-46	165.0
tr|F4C0J8|F4C0J8_METSG	INFORMATION STORAGE AND PROCESSING	RNA processing and modification 	KOG0452	RNA-binding translational regulator IRP (aconitase superfamily)	KOG0452, RNA-binding translational regulator IRP (aconitase superfamily) [RNA processing and modification, Translation, ribosomal structure and biogenesis]	CDD:228401	23.367	398	217	14	108	423	178	569	4.79e-18	84.4
tr|F4C0L2|F4C0L2_METSG	CELLULAR PROCESSES AND SIGNALING	Signal transduction mechanisms 	KOG4258	Insulin/growth factor receptor (contains protein kinase domain)	KOG4258, Insulin/growth factor receptor (contains protein kinase domain) [Signal transduction mechanisms]	CDD:232187	31.25	64	25	2	75	119	248	311	1.27e-05	41.0
tr|F4C0L2|F4C0L2_METSG	METABOLISM	Energy production and conversion 	KOG3256	NADH:ubiquinone oxidoreductase, NDUFS8/23 kDa subunit	KOG3256, NADH:ubiquinone oxidoreductase, NDUFS8/23 kDa subunit [Energy production and conversion]	CDD:231194	30.508	59	29	2	76	123	110	167	2.83e-05	39.5
tr|F4C0P0|F4C0P0_METSG	INFORMATION STORAGE AND PROCESSING	RNA processing and modification 	KOG1136	Predicted cleavage and polyadenylation specificity factor (CPSF subunit)	KOG1136, Predicted cleavage and polyadenylation specificity factor (CPSF subunit) [RNA processing and modification]	CDD:229079	30.197	457	297	13	181	632	4	443	4.8300000000000005e-77	252.0
tr|F4C0P0|F4C0P0_METSG	INFORMATION STORAGE AND PROCESSING	RNA processing and modification 	KOG1137	mRNA cleavage and polyadenylation factor II complex, BRR5 (CPSF subunit)	KOG1137, mRNA cleavage and polyadenylation factor II complex, BRR5 (CPSF subunit) [RNA processing and modification]	CDD:229080	29.122	467	291	16	183	634	16	457	2.11e-55	197.0
tr|F4C0P0|F4C0P0_METSG	INFORMATION STORAGE AND PROCESSING	RNA processing and modification 	KOG1135	mRNA cleavage and polyadenylation factor II complex, subunit CFT2 (CPSF subunit)	KOG1135, mRNA cleavage and polyadenylation factor II complex, subunit CFT2 (CPSF subunit) [RNA processing and modification]	CDD:229078	24.304	395	246	12	181	549	2	369	3.01e-20	92.9
tr|F4C0P0|F4C0P0_METSG	INFORMATION STORAGE AND PROCESSING	Replication, recombination and repair 	KOG1361	Predicted hydrolase involved in interstrand cross-link repair	KOG1361, Predicted hydrolase involved in interstrand cross-link repair [Replication, recombination and repair]	CDD:229303	19.838	247	154	11	208	442	77	291	2.59e-07	50.9
tr|F4C0P1|F4C0P1_METSG	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	KOG0175	20S proteasome, regulatory subunit beta type PSMB5/PSMB8/PRE2	KOG0175, 20S proteasome, regulatory subunit beta type PSMB5/PSMB8/PRE2 [Posttranslational modification, protein turnover, chaperones]	CDD:228124	32.727	220	129	4	1	203	65	282	6.72e-44	146.0
tr|F4C0P1|F4C0P1_METSG	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	KOG0174	20S proteasome, regulatory subunit beta type PSMB6/PSMB9/PRE3	KOG0174, 20S proteasome, regulatory subunit beta type PSMB6/PSMB9/PRE3 [Posttranslational modification, protein turnover, chaperones]	CDD:228123	31.016	187	126	3	3	188	15	199	3.0000000000000003e-31	111.0
tr|F4C0P1|F4C0P1_METSG	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	KOG0173	20S proteasome, regulatory subunit beta type PSMB7/PSMB10/PUP1	KOG0173, 20S proteasome, regulatory subunit beta type PSMB7/PSMB10/PUP1 [Posttranslational modification, protein turnover, chaperones]	CDD:228122	33.158	190	113	3	7	190	37	218	2.02e-28	105.0
tr|F4C0P1|F4C0P1_METSG	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	KOG0179	20S proteasome, regulatory subunit beta type PSMB1/PRE7	KOG0179, 20S proteasome, regulatory subunit beta type PSMB1/PRE7 [Posttranslational modification, protein turnover, chaperones]	CDD:228128	25.628	199	135	4	4	190	26	223	4.87e-25	95.5
