Entry	Entry Name	Protein names	Gene Ontology (GO)	Function [CC]	EC number	Annotation	Protein families	Pfam
F0T9A8	F0T9A8_METLA	Pseudomurein-binding repeat-containing protein				1.0		PF09373;
N0AUX5	N0AUX5_9BACI	NAD-dependent methanol dehydrogenase	alcohol dehydrogenase (NAD+) activity [GO:0004022]; metal ion binding [GO:0046872]			1.0	Iron-containing alcohol dehydrogenase family	PF00465;
F4BZD3	F4BZD3_METSG	Bifunctional protein GlmU	glucosamine-1-phosphate N-acetyltransferase activity [GO:0019134]; UDP-N-acetylglucosamine diphosphorylase activity [GO:0003977]; UDP-N-acetylglucosamine biosynthetic process [GO:0006048]	FUNCTION: Catalyzes the last two sequential reactions in the de novo biosynthetic pathway for UDP-N-acetyl-glucosamine (UDP-GlcNAc). Responsible for the acetylation of GlcN-1-P to GlcNAc-1-P, and for the uridyl transfer from UTP to GlcNAc-1-P, to produce UDP-GlcNAc and pyrophosphate. {ECO:0000256|ARBA:ARBA00024726}.		1.0		PF00132;PF00483;
E1JRU8	E1JRU8_SOLFR	ATP synthase subunit beta (EC 7.1.2.2) (ATP synthase F1 sector subunit beta) (F-ATPase subunit beta)	plasma membrane [GO:0005886]; proton-transporting ATP synthase complex, catalytic core F(1) [GO:0045261]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]	FUNCTION: Produces ATP from ADP in the presence of a proton gradient across the membrane. The catalytic sites are hosted primarily by the beta subunits. {ECO:0000256|HAMAP-Rule:MF_01347}.	7.1.2.2	3.0	ATPase alpha/beta chains family	PF00006;PF02874;PF22919;
E7SC79	E7SC79_9STRE	LPXTG-motif cell wall anchor domain protein	extracellular region [GO:0005576]; membrane [GO:0016020]; collagen binding [GO:0005518]; cell adhesion [GO:0007155]			2.0		PF17961;PF05737;PF00746;
E1CG92	E1CG92_MALDO	MdFBX18 protein				1.0		PF07734;
F6D382	F6D382_METPW	Pyridoxamine 5'-phosphate oxidase-related FMN-binding protein				1.0		PF01243;
A0A7K4AJ21	A0A7K4AJ21_METSH	Adenylate kinase (AK) (EC 2.7.4.3) (ATP-AMP transphosphorylase) (ATP:AMP phosphotransferase) (Adenylate monophosphate kinase)	cytoplasm [GO:0005737]; adenylate kinase activity [GO:0004017]; ATP binding [GO:0005524]; zinc ion binding [GO:0008270]; AMP salvage [GO:0044209]	FUNCTION: Catalyzes the reversible transfer of the terminal phosphate group between ATP and AMP. Plays an important role in cellular energy homeostasis and in adenine nucleotide metabolism. {ECO:0000256|HAMAP-Rule:MF_00235}.	2.7.4.3	3.0	Adenylate kinase family	PF00406;PF05191;
A1ATN6	A1ATN6_PELPD	GYF domain-containing protein				1.0		PF01987;PF14237;
F6D7Y3	F6D7Y3_METPW	Uncharacterized protein				1.0		
A0A7K4AEW5	A0A7K4AEW5_METSH	UPF0288 protein GX426_00310				1.0	UPF0288 family	
A0LKR5	A0LKR5_SYNFM	Fumarate hydratase class I (EC 4.2.1.2)	4 iron, 4 sulfur cluster binding [GO:0051539]; fumarate hydratase activity [GO:0004333]; metal ion binding [GO:0046872]; tricarboxylic acid cycle [GO:0006099]	FUNCTION: Catalyzes the reversible hydration of fumarate to (S)-malate. {ECO:0000256|PIRNR:PIRNR001394}.	4.2.1.2	2.0	Class-I fumarase family	PF05681;PF05683;
G2LIE5	G2LIE5_CHLTF	Cna protein B-type domain, TonB-dependent Receptor Plug Domain protein	cell outer membrane [GO:0009279]			1.0		PF13620;
L7VQZ8	L7VQZ8_THES1	Zinc-ribbon domain-containing protein				1.0		PF01987;PF13240;
F4C0E8	F4C0E8_METSG	thioredoxin-dependent peroxiredoxin (EC 1.11.1.24) (Thioredoxin peroxidase)	cytoplasm [GO:0005737]; thioredoxin peroxidase activity [GO:0008379]; cell redox homeostasis [GO:0045454]; cellular response to oxidative stress [GO:0034599]		1.11.1.24	2.0	Peroxiredoxin family, BCP/PrxQ subfamily	PF00578;
A0LN34	A0LN34_SYNFM	Extracellular solute-binding protein, family 3	extracellular region [GO:0005576]; membrane [GO:0016020]; outer membrane-bounded periplasmic space [GO:0030288]; ligand-gated monoatomic ion channel activity [GO:0015276]; amino acid transport [GO:0006865]			1.0	Bacterial solute-binding protein 3 family	PF00497;
A0A7K4AL65	A0A7K4AL65_METSH	DUF1743 domain-containing protein				1.0		PF22641;
D9ZJ14	D9ZJ14_MALDO	HD domain class transcription factor	ADP binding [GO:0043531]; defense response [GO:0006952]; signal transduction [GO:0007165]			1.0		PF00931;PF01582;PF23282;
A0A7K4AFK5	A0A7K4AFK5_METSH	inorganic diphosphatase (EC 3.6.1.1) (Pyrophosphate phospho-hydrolase)	cytoplasm [GO:0005737]; inorganic diphosphate phosphatase activity [GO:0004427]; metal ion binding [GO:0046872]		3.6.1.1	2.0		PF01368;PF02833;
E8N430	E8N430_ANATU	Fructose-bisphosphate aldolase (EC 4.1.2.13)	fructose-bisphosphate aldolase activity [GO:0004332]; zinc ion binding [GO:0008270]; carbohydrate metabolic process [GO:0005975]		4.1.2.13	1.0		PF01116;
A0A1V4V062	A0A1V4V062_9EURY	DNA polymerase sliding clamp (Proliferating cell nuclear antigen homolog) (PCNA)	DNA binding [GO:0003677]; DNA polymerase processivity factor activity [GO:0030337]; leading strand elongation [GO:0006272]; regulation of DNA replication [GO:0006275]	FUNCTION: Sliding clamp subunit that acts as a moving platform for DNA processing. Responsible for tethering the catalytic subunit of DNA polymerase and other proteins to DNA during high-speed replication. {ECO:0000256|HAMAP-Rule:MF_00317}.; FUNCTION: Sliding clamp subunit. Responsible for tethering the catalytic subunit of DNA polymerase to DNA during high-speed replication. {ECO:0000256|RuleBase:RU003673}.		2.0	PCNA family	PF02747;PF00705;
W0FQ61	W0FQ61_9BACT	Elongation factor Tu (EF-Tu)	cytosol [GO:0005829]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; translation elongation factor activity [GO:0003746]	FUNCTION: This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis. {ECO:0000256|HAMAP-Rule:MF_00118}.		2.0	TRAFAC class translation factor GTPase superfamily, Classic translation factor GTPase family, EF-Tu/EF-1A subfamily	PF00009;PF03144;PF03143;
Q12HS5	Q12HS5_SHEDO	Cadherin	cell outer membrane [GO:0009279]; pore complex [GO:0046930]; calcium ion binding [GO:0005509]; porin activity [GO:0015288]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]			1.0	Outer membrane OOP (TC 1.B.6) superfamily, OmpA family	PF17963;PF14252;PF01389;PF12951;
A0A843JY78	A0A843JY78_9EURY	Glyceraldehyde-3-phosphate dehydrogenase				1.0		
V4L783	V4L783_9BACT	ABC transporter substrate-binding protein	ATP-binding cassette (ABC) transporter complex [GO:0043190]; periplasmic space [GO:0042597]; peptide transmembrane transporter activity [GO:1904680]; peptide transport [GO:0015833]			1.0	Bacterial solute-binding protein 5 family	PF00496;
B0VGQ0	B0VGQ0_CLOAI	FlgD/Vpr Ig-like domain-containing protein				1.0		PF13860;
X0YSG8	X0YSG8_9ZZZZ	Fibronectin type-III domain-containing protein	membrane [GO:0016020]			1.0		PF13517;
A0A5I6RYY7	A0A5I6RYY7_SALPO	DUF1205 domain-containing protein (Glycosyltransferase)	hexosyltransferase activity [GO:0016758]; UDP-glycosyltransferase activity [GO:0008194]; antibiotic biosynthetic process [GO:0017000]			1.0	Glycosyltransferase 28 family	PF06722;PF21036;
A0A1V4V3X9	A0A1V4V3X9_9EURY	Large ribosomal subunit protein uL10 (Acidic ribosomal protein P0 homolog)	cytosolic large ribosomal subunit [GO:0022625]; large ribosomal subunit rRNA binding [GO:0070180]; structural constituent of ribosome [GO:0003735]; cytoplasmic translation [GO:0002181]; ribosomal large subunit assembly [GO:0000027]	FUNCTION: Forms part of the ribosomal stalk, playing a central role in the interaction of the ribosome with GTP-bound translation factors. {ECO:0000256|HAMAP-Rule:MF_00280}.		2.0	Universal ribosomal protein uL10 family	PF00466;PF17777;
S9SLW8	S9SLW8_PAEAL	Uncharacterized protein				1.0		PF10282;
B9M8V6	B9M8V6_GEODF	Outer membrane protein assembly factor BamA	cell outer membrane [GO:0009279]; membrane assembly [GO:0071709]			1.0		PF01103;PF07244;
A0A843JYY7	A0A843JYY7_9EURY	Tetrahydromethanopterin S-methyltransferase subunit E (EC 7.2.1.4) (N5-methyltetrahydromethanopterin--coenzyme M methyltransferase subunit E)	cytoplasm [GO:0005737]; plasma membrane [GO:0005886]; vesicle membrane [GO:0012506]; tetrahydromethanopterin S-methyltransferase activity [GO:0030269]; methanogenesis, from carbon dioxide [GO:0019386]; methylation [GO:0032259]; one-carbon metabolic process [GO:0006730]	FUNCTION: Part of a complex that catalyzes the formation of methyl-coenzyme M and tetrahydromethanopterin from coenzyme M and methyl-tetrahydromethanopterin. This is an energy-conserving, sodium-ion translocating step. {ECO:0000256|ARBA:ARBA00002533, ECO:0000256|HAMAP-Rule:MF_01098}.	7.2.1.4	3.0	MtrE family	PF04206;
A0B5T7	A0B5T7_METTP	Calcineurin-like phosphoesterase domain-containing protein	plasma membrane [GO:0005886]; metal ion binding [GO:0046872]; UDP-2,3-diacylglucosamine hydrolase activity [GO:0008758]; lipid A biosynthetic process [GO:0009245]			1.0		PF00149;
I9VHX8	I9VHX8_BACFG	Uncharacterized protein				1.0		
I9NCA8	I9NCA8_RHILT	5'-nucleotidase/2',3'-cyclic phosphodiesterase-like hydrolase	metal ion binding [GO:0046872]; nucleotidase activity [GO:0008252]; nucleotide binding [GO:0000166]; nucleotide catabolic process [GO:0009166]			2.0	5'-nucleotidase family	PF02872;PF01476;PF00149;
S5ZRV8	S5ZRV8_9SPIR	Iron ABC transporter substrate-binding protein	cellular response to iron ion [GO:0071281]			1.0		PF01497;
E8K106	E8K106_9STRE	Phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 2 (EC 2.7.1.69)	plasma membrane [GO:0005886]; carbohydrate:proton symporter activity [GO:0005351]; protein-N(PI)-phosphohistidine-fructose phosphotransferase system transporter activity [GO:0022877]; protein-phosphocysteine-sugar phosphotransferase activity [GO:0090563]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]		2.7.1.69	2.0		PF00359;PF02378;PF02302;
K6U0X0	K6U0X0_9EURY	Hydroxymethylglutaryl-CoA synthase (HMG-CoA synthase) (HMGCS) (EC 2.3.3.10)	acetyl-CoA C-acetyltransferase activity [GO:0003985]; hydroxymethylglutaryl-CoA synthase activity [GO:0004421]; farnesyl diphosphate biosynthetic process, mevalonate pathway [GO:0010142]; isopentenyl diphosphate biosynthetic process, mevalonate pathway [GO:0019287]	FUNCTION: Catalyzes the condensation of acetyl-CoA with acetoacetyl-CoA to form 3-hydroxy-3-methylglutaryl-CoA (HMG-CoA). Functions in the mevalonate (MVA) pathway leading to isopentenyl diphosphate (IPP), a key precursor for the biosynthesis of isoprenoid compounds that are building blocks of archaeal membrane lipids. {ECO:0000256|HAMAP-Rule:MF_01409}.	2.3.3.10	3.0	Thiolase-like superfamily, Archaeal HMG-CoA synthase family	PF08541;PF01154;
B3G2A2	B3G2A2_PSEAI	Halogenase pltM	monooxygenase activity [GO:0004497]			1.0		PF04820;
E6PYB8	E6PYB8_9ZZZZ	Cna B domain protein	cell outer membrane [GO:0009279]			1.0		PF00593;
L0HFT2	L0HFT2_METFS	Methyl-coenzyme M reductase subunit beta (EC 2.8.4.1) (Coenzyme-B sulfoethylthiotransferase beta)	coenzyme-B sulfoethylthiotransferase activity [GO:0050524]; methanogenesis [GO:0015948]		2.8.4.1	2.0	Methyl-coenzyme M reductase beta subunit family	PF02241;PF02783;
A0AAU8RY23	A0AAU8RY23_TREPL	Treponemal membrane protein B				1.0		
I9XHX8	I9XHX8_RHILT	Uncharacterized protein				1.0		
C3SKK2	C3SKK2_ECOLX	TDP-N-acetylfucosamine:lipid II N-acetylfucosaminyltransferase (EC 2.4.1.325) (4-alpha-L-fucosyltransferase) (TDP-Fuc4NAc:lipid II Fuc4NAc transferase) (Fuc4NAc transferase)	plasma membrane [GO:0005886]; 4-acetamido-4,6-dideoxy-D-galactose transferase activity [GO:0102031]; fucosyltransferase activity [GO:0008417]; enterobacterial common antigen biosynthetic process [GO:0009246]; fucosylation [GO:0036065]	FUNCTION: Catalyzes the synthesis of Und-PP-GlcNAc-ManNAcA-Fuc4NAc (Lipid III), the third lipid-linked intermediate involved in ECA synthesis. {ECO:0000256|HAMAP-Rule:MF_01002}.	2.4.1.325	2.0	Glycosyltransferase 56 family	PF07429;
D3S0E7	D3S0E7_FERPA	Prenyltransferase/squalene oxidase	transferase activity [GO:0016740]			1.0		PF14478;PF00432;PF13243;
A0A1V4VAB7	A0A1V4VAB7_9EURY	Small ribosomal subunit protein uS11	cytosolic small ribosomal subunit [GO:0022627]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	FUNCTION: Located on the platform of the 30S subunit. {ECO:0000256|HAMAP-Rule:MF_01310}.		2.0	Universal ribosomal protein uS11 family	PF00411;
F4BXV3	F4BXV3_METSG	Phosphoglucomutase/phosphomannomutase (EC 5.4.2.2, EC 5.4.2.8)	metal ion binding [GO:0046872]; phosphoglucomutase activity [GO:0004614]; phosphomannomutase activity [GO:0004615]; carbohydrate metabolic process [GO:0005975]		5.4.2.2; 5.4.2.8	1.0	Phosphohexose mutase family	PF02878;PF02879;PF02880;PF00408;
F2NIQ2	F2NIQ2_DESAR	UspA domain-containing protein	ATP binding [GO:0005524]			1.0	Universal stress protein A family	PF00582;
A1AM16	A1AM16_PELPD	Acetaldehyde dehydrogenase (Acetylating) (EC 1.2.1.10)	acetaldehyde dehydrogenase (acetylating) activity [GO:0008774]		1.2.1.10	1.0		PF00171;
A0A7K4AFB1	A0A7K4AFB1_METSH	CBS domain-containing protein	methionine biosynthetic process [GO:0009086]			1.0		PF00571;
S1NYY8	S1NYY8_9ENTE	Pyruvate carboxylase (EC 6.4.1.1)	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; pyruvate carboxylase activity [GO:0004736]; gluconeogenesis [GO:0006094]; pyruvate metabolic process [GO:0006090]	FUNCTION: Catalyzes a 2-step reaction, involving the ATP-dependent carboxylation of the covalently attached biotin in the first step and the transfer of the carboxyl group to pyruvate in the second. {ECO:0000256|PIRNR:PIRNR001594}.	6.4.1.1	2.0		PF02785;PF00289;PF00364;PF02786;PF00682;PF02436;
G1V966	G1V966_9BACT	Leucine-binding protein domain-containing protein				1.0	Leucine-binding protein family	PF13458;
C5DVR9	C5DVR9_ZYGRC	ZYRO0D08910p	membrane [GO:0016020]; mitochondrion [GO:0005739]; acetyl-CoA carboxylase activity [GO:0003989]; ATP binding [GO:0005524]; biotin carboxylase activity [GO:0004075]; metal ion binding [GO:0046872]; fatty acid biosynthetic process [GO:0006633]; malonyl-CoA biosynthetic process [GO:2001295]			2.0		PF08326;PF21385;PF02785;PF00289;PF00364;PF01039;PF02786;
F0T7S9	F0T7S9_METLA	CoB--CoM heterodisulfide reductase iron-sulfur subunit A (EC 1.8.-.-)	4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]; oxidoreductase activity [GO:0016491]	FUNCTION: Part of a complex that catalyzes the reversible reduction of CoM-S-S-CoB to the thiol-coenzymes H-S-CoM (coenzyme M) and H-S-CoB (coenzyme B). {ECO:0000256|RuleBase:RU366072}.	1.8.-.-	2.0	HdrA family	PF12831;PF00037;PF13237;
A0A7K4AJF2	A0A7K4AJF2_METSH	NAD(P)/FAD-dependent oxidoreductase	4 iron, 4 sulfur cluster binding [GO:0051539]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; oxidoreductase activity [GO:0016491]			1.0		PF01077;PF03460;
F4BZ82	F4BZ82_METSG	Cna B domain protein	extracellular region [GO:0005576]; membrane [GO:0016020]			1.0		PF17210;
A5GEZ5	A5GEZ5_GEOUR	Type IV pilus assembly protein PilM	cell division [GO:0051301]			1.0		PF11104;
D7CN94	D7CN94_SYNLT	4Fe-4S ferredoxin-type domain-containing protein	plasma membrane [GO:0005886]; 4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]; oxidoreductase activity [GO:0016491]			1.0		PF02754;PF13183;PF02665;
V7I6J0	V7I6J0_9CLOT	Gingipain domain-containing protein				1.0		
A0A1V4VEX0	A0A1V4VEX0_9EURY	Putative ABC transporter periplasmic-binding protein	ATP-binding cassette (ABC) transporter complex [GO:0043190]; periplasmic space [GO:0042597]; peptide transmembrane transporter activity [GO:1904680]; peptide transport [GO:0015833]			1.0		PF00496;
W4PKK4	W4PKK4_9BACE	RNA methyltransferase	cell outer membrane [GO:0009279]; methyltransferase activity [GO:0008168]; methylation [GO:0032259]			1.0	TonB-dependent receptor family	PF13715;PF07715;PF00593;
M4XGM6	M4XGM6_9PSED	Outer membrane adhesin like protein				1.0		PF17803;PF14252;
R6LIJ9	R6LIJ9_9FIRM	Phosphoserine aminotransferase (EC 2.6.1.52) (Phosphohydroxythreonine aminotransferase) (PSAT)	cytoplasm [GO:0005737]; O-phospho-L-serine:2-oxoglutarate aminotransferase activity [GO:0004648]; pyridoxal phosphate binding [GO:0030170]; L-serine biosynthetic process [GO:0006564]	FUNCTION: Catalyzes the reversible conversion of 3-phosphohydroxypyruvate to phosphoserine and of 3-hydroxy-2-oxo-4-phosphonooxybutanoate to phosphohydroxythreonine. {ECO:0000256|ARBA:ARBA00003483, ECO:0000256|HAMAP-Rule:MF_00160}.	2.6.1.52	3.0	Class-V pyridoxal-phosphate-dependent aminotransferase family, SerC subfamily	PF00266;
A0LLE3	A0LLE3_SYNFM	Acetyl-CoA decarbonylase/synthase delta subunit				1.0		PF03599;
X4ZSR1	X4ZSR1_9BACL	ABC transporter substrate-binding protein				1.0	Bacterial solute-binding protein 1 family	
F2NH78	F2NH78_DESAR	Formate dehydrogenase, alpha subunit (EC 1.7.99.4)	membrane [GO:0016020]; 2 iron, 2 sulfur cluster binding [GO:0051537]; 4 iron, 4 sulfur cluster binding [GO:0051539]; formate dehydrogenase (NAD+) activity [GO:0008863]; metal ion binding [GO:0046872]; molybdopterin cofactor binding [GO:0043546]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; NADH dehydrogenase activity [GO:0003954]; ATP synthesis coupled electron transport [GO:0042773]; formate metabolic process [GO:0015942]		1.7.99.4	2.0	Prokaryotic molybdopterin-containing oxidoreductase family	PF13510;PF12838;PF04879;PF00384;PF01568;PF10588;
C6E3T2	C6E3T2_GEOSM	Porin				1.0		
F4BZ87	F4BZ87_METSG	Chaperone protein DnaK (HSP70) (Heat shock 70 kDa protein) (Heat shock protein 70)	ATP binding [GO:0005524]; ATP-dependent protein folding chaperone [GO:0140662]; unfolded protein binding [GO:0051082]	FUNCTION: Acts as a chaperone. {ECO:0000256|HAMAP-Rule:MF_00332}.		2.0	Heat shock protein 70 family	PF00012;
F4BSV7	F4BSV7_METSG	PEGA domain-containing protein				1.0		
A0A7K4AJ88	A0A7K4AJ88_METSH	DUF4198 domain-containing protein				1.0		PF10670;
D5EG29	D5EG29_AMICL	Selenoprotein B, glycine/betaine/sarcosine/D-proline reductase family	oxidoreductase activity, acting on X-H and Y-H to form an X-Y bond, with a disulfide as acceptor [GO:0050485]			1.0		PF07355;
B9M5V5	B9M5V5_GEODF	Pyruvate, phosphate dikinase (EC 2.7.9.1)	ATP binding [GO:0005524]; kinase activity [GO:0016301]; metal ion binding [GO:0046872]; pyruvate, phosphate dikinase activity [GO:0050242]; pyruvate metabolic process [GO:0006090]		2.7.9.1	2.0	PEP-utilizing enzyme family	PF00391;PF02896;PF01326;
C7LP88	C7LP88_DESBD	Iron-containing alcohol dehydrogenase	alcohol dehydrogenase (NAD+) activity [GO:0004022]; metal ion binding [GO:0046872]			1.0	Iron-containing alcohol dehydrogenase family	PF00465;
A5D4P0	A5D4P0_PELTS	Alcohol dehydrogenase	alcohol dehydrogenase (NAD+) activity [GO:0004022]; metal ion binding [GO:0046872]			1.0	Iron-containing alcohol dehydrogenase family	PF00465;
A5G7G1	A5G7G1_GEOUR	Porin				1.0		
A0AAU8RX98	A0AAU8RX98_TREPL	Methionyl-tRNA formyltransferase (EC 2.1.2.9)	cytosol [GO:0005829]; methionyl-tRNA formyltransferase activity [GO:0004479]	FUNCTION: Attaches a formyl group to the free amino group of methionyl-tRNA(fMet). The formyl group appears to play a dual role in the initiator identity of N-formylmethionyl-tRNA by promoting its recognition by IF2 and preventing the misappropriation of this tRNA by the elongation apparatus. {ECO:0000256|ARBA:ARBA00002606, ECO:0000256|HAMAP-Rule:MF_00182}.	2.1.2.9	2.0	Fmt family	PF02911;PF00551;
A0B6R9	A0B6R9_METTP	UspA domain protein				1.0	Universal stress protein A family	PF00582;
A0A843KA91	A0A843KA91_9EURY	Lrp/AsnC family transcriptional regulator				1.0		
K1Y3I3	K1Y3I3_9BACT	SusD family protein				1.0		PF12771;
Q6DMU0	Q6DMU0_9CAUD	Putative capsid protein	virion component [GO:0044423]			1.0		PF05065;
E1JYE0	E1JYE0_SOLFR	Aldehyde oxidase and xanthine dehydrogenase molybdopterin binding	2 iron, 2 sulfur cluster binding [GO:0051537]; iron ion binding [GO:0005506]; oxidoreductase activity [GO:0016491]			1.0	Xanthine dehydrogenase family	PF01315;PF00111;PF01799;PF02738;PF20256;
G9LNI9	G9LNI9_9ASPA	DNA-directed RNA polymerase subunit (EC 2.7.7.6)	chloroplast [GO:0009507]; DNA-directed RNA polymerase complex [GO:0000428]; mitochondrion [GO:0005739]; DNA binding [GO:0003677]; mitochondrial single subunit type RNA polymerase activity [GO:0001065]; plastid single subunit type RNA polymerase activity [GO:0001066]; RNA polymerase I activity [GO:0001054]; RNA polymerase II activity [GO:0001055]; RNA polymerase III activity [GO:0001056]; RNA polymerase IV activity [GO:0001057]; RNA polymerase V activity [GO:0001058]	FUNCTION: DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates. {ECO:0000256|ARBA:ARBA00004026, ECO:0000256|RuleBase:RU004279}.	2.7.7.6	3.0	RNA polymerase beta' chain family, RpoC1 subfamily	PF04997;PF00623;
F4BXZ6	F4BXZ6_METSG	S-layer-related duplication domain protein	membrane [GO:0016020]			1.0		PF08308;PF07752;
D5EGX5	D5EGX5_AMICL	Extracellular solute-binding protein, family 7	transmembrane transport [GO:0055085]			1.0	Bacterial solute-binding protein 7 family	PF03480;
C6E2K1	C6E2K1_GEOSM	Iron-containing alcohol dehydrogenase	alcohol dehydrogenase (NAD+) activity [GO:0004022]; metal ion binding [GO:0046872]			1.0	Iron-containing alcohol dehydrogenase family	PF00465;
Q945E5	Q945E5_ORYSA	Putative sugar transporter	membrane [GO:0016020]; carbohydrate transmembrane transporter activity [GO:0015144]; symporter activity [GO:0015293]			2.0	Major facilitator superfamily, Sugar transporter (TC 2.A.1.1) family	PF00083;
G5CBT9	G5CBT9_MALDO	Receptor-like protein	plasma membrane [GO:0005886]			1.0	RLP family	PF00560;PF23598;PF13855;PF08263;
L8JIG6	L8JIG6_9BACT	PKD domain-containing protein				1.0		PF13585;PF00801;PF18911;PF19406;PF19408;PF13573;
S5DNW6	S5DNW6_9ACTN	Chaperone protein DnaK (HSP70) (Heat shock 70 kDa protein) (Heat shock protein 70)	ATP binding [GO:0005524]; ATP-dependent protein folding chaperone [GO:0140662]; unfolded protein binding [GO:0051082]	FUNCTION: Acts as a chaperone. {ECO:0000256|HAMAP-Rule:MF_00332}.		2.0	Heat shock protein 70 family	PF00012;
A0AAE9AB65	A0AAE9AB65_CAEBR	SET domain-containing protein	chromosome [GO:0005694]; nucleus [GO:0005634]; histone H3 methyltransferase activity [GO:0140938]; protein-lysine N-methyltransferase activity [GO:0016279]; methylation [GO:0032259]			1.0		PF00856;
A0A5W0IFC6	A0A5W0IFC6_SALER	Propanediol dehydratase medium subunit PduD				1.0		PF02288;
Q8EN17	Q8EN17_OCEIH	3-hydroxyacyl-CoA dehydrogenase	oxidoreductase activity [GO:0016491]			1.0	Short-chain dehydrogenases/reductases (SDR) family	PF00106;
A1AMF2	A1AMF2_PELPD	Porin domain-containing protein				1.0		
A0LK40	A0LK40_SYNFM	Cache, type 2	plasma membrane [GO:0005886]			1.0		PF08269;
A0A1V4VE95	A0A1V4VE95_9EURY	V-type ATP synthase subunit D (V-ATPase subunit D)	ATP binding [GO:0005524]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]; proton motive force-driven plasma membrane ATP synthesis [GO:0042777]	FUNCTION: Produces ATP from ADP in the presence of a proton gradient across the membrane. {ECO:0000256|ARBA:ARBA00003543, ECO:0000256|HAMAP-Rule:MF_00271}.		2.0	V-ATPase D subunit family	PF01813;
A0A843JQW4	A0A843JQW4_9EURY	Formylmethanofuran dehydrogenase subunit E domain-containing protein				1.0		PF02663;
U2JET0	U2JET0_9SPHI	TonB-dependent receptor plug domain-containing protein	cell outer membrane [GO:0009279]; siderophore uptake transmembrane transporter activity [GO:0015344]			1.0	TonB-dependent receptor family	PF13715;PF07715;PF00593;
A0LKL5	A0LKL5_SYNFM	Extracellular ligand-binding receptor	amino acid transport [GO:0006865]			1.0	Leucine-binding protein family	PF13458;
A0A7K4AJL9	A0A7K4AJL9_METSH	Pyridoxal 5'-phosphate synthase subunit PdxS (PLP synthase subunit PdxS) (EC 4.3.3.6) (Pdx1)	pyridoxal 5'-phosphate synthase (glutamine hydrolysing) activity [GO:0036381]; amino acid metabolic process [GO:0006520]; pyridoxal phosphate biosynthetic process [GO:0042823]; pyridoxine biosynthetic process [GO:0008615]	FUNCTION: Catalyzes the formation of pyridoxal 5'-phosphate from ribose 5-phosphate (RBP), glyceraldehyde 3-phosphate (G3P) and ammonia. The ammonia is provided by the PdxT subunit. Can also use ribulose 5-phosphate and dihydroxyacetone phosphate as substrates, resulting from enzyme-catalyzed isomerization of RBP and G3P, respectively. {ECO:0000256|HAMAP-Rule:MF_01824}.	4.3.3.6	3.0	PdxS/SNZ family	PF01680;
U4R337	U4R337_9FIRM	ABC transporter substrate-binding protein				1.0		PF01547;
F4BW14	F4BW14_METSG	Uncharacterized protein				1.0		
F4BTS3	F4BTS3_METSG	Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8)	cytoplasm [GO:0005737]; RNA polymerase II CTD heptapeptide repeat P3 isomerase activity [GO:0140839]; RNA polymerase II CTD heptapeptide repeat P6 isomerase activity [GO:0140840]; protein refolding [GO:0042026]		5.2.1.8	2.0	FKBP-type PPIase family	PF00254;
B9M238	B9M238_GEODF	carbonic anhydrase (EC 4.2.1.1)	carbonate dehydratase activity [GO:0004089]; zinc ion binding [GO:0008270]; carbon utilization [GO:0015976]		4.2.1.1	2.0	Beta-class carbonic anhydrase family	PF00484;
A0A7K4AHX9	A0A7K4AHX9_METSH	S-adenosylmethionine synthase (AdoMet synthase) (EC 2.5.1.6) (Methionine adenosyltransferase)	ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; methionine adenosyltransferase activity [GO:0004478]; one-carbon metabolic process [GO:0006730]; S-adenosylmethionine biosynthetic process [GO:0006556]	FUNCTION: Catalyzes the formation of S-adenosylmethionine from methionine and ATP. {ECO:0000256|ARBA:ARBA00003775, ECO:0000256|HAMAP-Rule:MF_00136}.	2.5.1.6	2.0	AdoMet synthase 2 family	PF01941;
Q1IJQ5	Q1IJQ5_KORVE	TonB-dependent receptor	cell outer membrane [GO:0009279]; carbohydrate binding [GO:0030246]; siderophore uptake transmembrane transporter activity [GO:0015344]			1.0	TonB-dependent receptor family	PF13620;PF07715;PF00593;
