qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	Entry	Entry Name	Protein names	Gene Ontology (GO)	Function [CC]	EC number	Annotation	Protein families	Pfam
tr|K2R153|K2R153_METFP	K2R153	100.0	181	0	0	1	181	1	181	5.779999999999998e-122	351.0	K2R153	K2R153_METFP	TATA-box-binding protein (Box A-binding protein) (BAP) (TATA sequence-binding protein) (TBP) (TATA-box factor)	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; DNA-templated transcription initiation [GO:0006352]	FUNCTION: General factor that plays a role in the activation of archaeal genes transcribed by RNA polymerase. Binds specifically to the TATA box promoter element which lies close to the position of transcription initiation. {ECO:0000256|ARBA:ARBA00025680, ECO:0000256|HAMAP-Rule:MF_00408, ECO:0000256|RuleBase:RU000523}.		2.0	TBP family	PF00352;
tr|K2QYM4|K2QYM4_METFP	K2QYM4	100.0	550	0	0	1	550	1	550	0.0	1102.0	K2QYM4	K2QYM4_METFP	Methyl-coenzyme M reductase subunit alpha (EC 2.8.4.1)	coenzyme-B sulfoethylthiotransferase activity [GO:0050524]; metal ion binding [GO:0046872]; methanogenesis [GO:0015948]	FUNCTION: Component of the methyl-coenzyme M reductase (MCR) I that catalyzes the reductive cleavage of methyl-coenzyme M (CoM-S-CH3 or 2-(methylthio)ethanesulfonate) using coenzyme B (CoB or 7-mercaptoheptanoylthreonine phosphate) as reductant which results in the production of methane and the mixed heterodisulfide of CoB and CoM (CoM-S-S-CoB). This is the final step in methanogenesis. {ECO:0000256|PIRNR:PIRNR000262}.	2.8.4.1	2.0	Methyl-coenzyme M reductase alpha subunit family	PF02249;PF02745;
tr|K2QWB3|K2QWB3_METFP	K2QWB3	100.0	261	0	0	1	261	1	261	1.3999999999999998e-173	488.0	K2QWB3	K2QWB3_METFP	Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8)	RNA polymerase II CTD heptapeptide repeat P3 isomerase activity [GO:0140839]; RNA polymerase II CTD heptapeptide repeat P6 isomerase activity [GO:0140840]; gene expression [GO:0010467]		5.2.1.8	2.0	FKBP-type PPIase family	PF18046;PF22199;PF00254;
tr|K2QE46|K2QE46_METFP	K2QE46	100.0	199	0	0	1	199	1	199	5.8799999999999985e-133	380.0	K2QE46	K2QE46_METFP	Transcriptional regulator GfcR	DNA binding [GO:0003677]; orotate phosphoribosyltransferase activity [GO:0004588]; pyrimidine nucleobase biosynthetic process [GO:0019856]; regulation of gene expression [GO:0010468]; UMP biosynthetic process [GO:0006222]			2.0	Purine/pyrimidine phosphoribosyltransferase family, GfcR subfamily	PF00156;
tr|K2Q9W3|K2Q9W3_METFP	K2Q9W3	100.0	108	0	0	1	108	1	108	4.6199999999999994e-68	209.0	K2Q9W3	K2Q9W3_METFP	UPF0145 protein A994_12046				1.0	UPF0145 family	PF01906;
tr|K2E7V3|K2E7V3_9BACT	K2E7V3	100.0	460	0	0	1	460	1	460	0.0	932.0	K2E7V3	K2E7V3_9BACT	Capsule polysaccharide biosynthesis protein				1.0		
tr|K2DQQ0|K2DQQ0_9BACT	K2DQQ0	100.0	682	0	0	1	682	1	682	0.0	1368.0	K2DQQ0	K2DQQ0_9BACT	Solute-binding protein family 5 domain-containing protein	peptide transmembrane transporter activity [GO:1904680]; peptide transport [GO:0015833]			1.0		PF00496;
tr|K2DQ07|K2DQ07_9BACT	K2DQ07	100.0	545	0	0	1	545	1	545	0.0	1074.0	K2DQ07	K2DQ07_9BACT	Pyruvate, phosphate dikinase	ATP binding [GO:0005524]; kinase activity [GO:0016301]; pyruvate, phosphate dikinase activity [GO:0050242]; pyruvate metabolic process [GO:0006090]			1.0		PF00391;PF01326;
tr|K2D500|K2D500_9BACT	K2D500	100.0	207	0	0	1	207	1	207	2.579999999999999e-140	399.0	K2D500	K2D500_9BACT	D-isomer specific 2-hydroxyacid dehydrogenase NAD-binding domain-containing protein	NAD binding [GO:0051287]; oxidoreductase activity [GO:0016491]			1.0	D-isomer specific 2-hydroxyacid dehydrogenase family	PF02826;
tr|K2D2X6|K2D2X6_9BACT	K2D2X6	100.0	493	0	0	1	493	1	493	0.0	953.0	K2D2X6	K2D2X6_9BACT	Tr-type G domain-containing protein	GTP binding [GO:0005525]; GTPase activity [GO:0003924]; ribosome disassembly [GO:0032790]			1.0		PF22042;PF14492;PF00009;
tr|K2CT31|K2CT31_9BACT	K2CT31	100.0	322	0	0	1	322	1	322	2.9799999999999988e-226	626.0	K2CT31	K2CT31_9BACT	ATP-dependent 6-phosphofructokinase (ATP-PFK) (Phosphofructokinase) (EC 2.7.1.11) (Phosphohexokinase)	6-phosphofructokinase complex [GO:0005945]; 6-phosphofructokinase activity [GO:0003872]; AMP binding [GO:0016208]; ATP binding [GO:0005524]; fructose-6-phosphate binding [GO:0070095]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; monosaccharide binding [GO:0048029]; canonical glycolysis [GO:0061621]; fructose 1,6-bisphosphate metabolic process [GO:0030388]; fructose 6-phosphate metabolic process [GO:0006002]	FUNCTION: Catalyzes the phosphorylation of D-fructose 6-phosphate to fructose 1,6-bisphosphate by ATP, the first committing step of glycolysis. {ECO:0000256|HAMAP-Rule:MF_00339}.	2.7.1.11	4.0	Phosphofructokinase type A (PFKA) family, ATP-dependent PFK group I subfamily, Prokaryotic clade 'B1' sub-subfamily	PF00365;
tr|K2CR50|K2CR50_9BACT	K2CR50	100.0	230	0	0	1	230	1	230	3.389999999999999e-170	477.0	K2CR50	K2CR50_9BACT	Uncharacterized protein				1.0		
tr|K1YHD0|K1YHD0_9BACT	K1YHD0	100.0	385	0	0	1	385	1	385	4.619999999999997e-280	768.0	K1YHD0	K1YHD0_9BACT	Acyl-CoA dehydrogenase	acyl-CoA dehydrogenase activity [GO:0003995]; flavin adenine dinucleotide binding [GO:0050660]			1.0	Acyl-CoA dehydrogenase family	PF00441;PF02770;PF02771;
tr|K1YCX2|K1YCX2_9BACT	K1YCX2	100.0	339	0	0	1	339	1	339	1.0999999999999995e-241	667.0	K1YCX2	K1YCX2_9BACT	Solute-binding protein family 3/N-terminal domain-containing protein	amino acid transport [GO:0006865]			1.0	Bacterial solute-binding protein 3 family	PF00497;
tr|K1YAM0|K1YAM0_9BACT	K1YAM0	100.0	382	0	0	1	382	1	382	2.0299999999999991e-277	761.0	K1YAM0	K1YAM0_9BACT	Solute-binding protein family 3/N-terminal domain-containing protein	amino acid transport [GO:0006865]			1.0	Bacterial solute-binding protein 3 family	PF00497;
tr|K1Y8P4|K1Y8P4_9BACT	K1Y8P4	100.0	202	0	0	1	202	1	202	1.6199999999999995e-136	389.0	K1Y8P4	K1Y8P4_9BACT	Pyruvate/ketoisovalerate oxidoreductase catalytic domain-containing protein	oxidoreductase activity, acting on the aldehyde or oxo group of donors [GO:0016903]			1.0		PF01558;
tr|K1Y6T9|K1Y6T9_9BACT	K1Y6T9	100.0	411	0	0	1	411	1	411	4.969999999999998e-295	808.0	K1Y6T9	K1Y6T9_9BACT	Leucine-binding protein domain-containing protein	amino acid transport [GO:0006865]			1.0	Leucine-binding protein family	PF13458;
tr|K1Y3I3|K1Y3I3_9BACT	K1Y3I3	100.0	532	0	0	1	532	1	532	0.0	1075.0	K1Y3I3	K1Y3I3_9BACT	SusD family protein				1.0		PF12771;
tr|K1Y2X6|K1Y2X6_9BACT	K1Y2X6	100.0	1091	0	0	1	1091	1	1091	0.0	2168.0	K1Y2X6	K1Y2X6_9BACT	TonB-dependent receptor plug domain-containing protein	cell outer membrane [GO:0009279]			1.0	TonB-dependent receptor family	PF13715;PF07715;
tr|K1Y0P8|K1Y0P8_9BACT	K1Y0P8	100.0	381	0	0	1	381	1	381	7.199999999999996e-266	731.0	K1Y0P8	K1Y0P8_9BACT	Acyl-CoA dehydrogenase	acyl-CoA dehydrogenase activity [GO:0003995]; flavin adenine dinucleotide binding [GO:0050660]			1.0	Acyl-CoA dehydrogenase family	PF00441;PF02770;PF02771;
tr|K1WWL5|K1WWL5_MARBU	K1WWL5	100.0	532	0	0	1	532	1	532	0.0	1043.0	K1WWL5	K1WWL5_MARBU	Misato	mitochondrion [GO:0005739]; mitochondrion organization [GO:0007005]	FUNCTION: Involved in the partitioning of the mitochondrial organelle and mitochondrial DNA (mtDNA) inheritance. {ECO:0000256|ARBA:ARBA00003757}.		2.0	Misato family	PF10644;PF14881;
tr|K1TSN6|K1TSN6_9ZZZZ	K1TSN6	100.0	343	0	0	1	343	1	343	2.199999999999999e-259	712.0	K1TSN6	K1TSN6_9ZZZZ	Outer membrane protein, probably involved in nutrient binding protein	cell outer membrane [GO:0009279]			1.0		PF00593;
tr|K1MCD4|K1MCD4_9LACT	A0A2I1JWW2	100.0	428	0	0	1	428	1	428	2.76e-312	853.0	A0A2I1JWW2	A0A2I1JWW2_9LACT	Beta-aspartyl-peptidase	oxidoreductase activity, acting on X-H and Y-H to form an X-Y bond, with a disulfide as acceptor [GO:0050485]			1.0		PF09338;
tr|K0YV38|K0YV38_9ACTO	K0YV38	100.0	347	0	0	1	347	1	347	3.049999999999999e-243	671.0	K0YV38	K0YV38_9ACTO	Periplasmic binding protein domain-containing protein	outer membrane-bounded periplasmic space [GO:0030288]; carbohydrate binding [GO:0030246]			1.0	Bacterial solute-binding protein 2 family	PF13407;
tr|K0AXF7|K0AXF7_GOTA9	K0AXF7	100.0	557	0	0	1	557	1	557	0.0	1108.0	K0AXF7	K0AXF7_GOTA9	Oligopeptide transporter, periplasmic-binding protein OppA	ATP-binding cassette (ABC) transporter complex [GO:0043190]; periplasmic space [GO:0042597]; peptide transmembrane transporter activity [GO:1904680]; peptide transport [GO:0015833]			1.0		PF00496;
tr|J9VFD8|J9VFD8_MYCTX	J9VFD8	100.0	1178	0	0	1	1178	1	1178	0.0	2319.0	J9VFD8	J9VFD8_MYCTX	DNA-directed RNA polymerase subunit beta (RNAP subunit beta) (EC 2.7.7.6) (RNA polymerase subunit beta) (Transcriptase subunit beta)	DNA-directed RNA polymerase complex [GO:0000428]; DNA binding [GO:0003677]; plastid single subunit type RNA polymerase activity [GO:0001066]; ribonucleoside binding [GO:0032549]; RNA polymerase I activity [GO:0001054]; RNA polymerase II activity [GO:0001055]; RNA polymerase III activity [GO:0001056]; RNA polymerase IV activity [GO:0001057]; RNA polymerase V activity [GO:0001058]	FUNCTION: DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates. {ECO:0000256|HAMAP-Rule:MF_01321, ECO:0000256|RuleBase:RU363031}.	2.7.7.6	3.0	RNA polymerase beta chain family	PF04563;PF04561;PF04565;PF10385;PF00562;PF04560;
tr|J9G6Y0|J9G6Y0_9ZZZZ	J9G6Y0	100.0	175	0	0	1	175	1	175	4.4299999999999986e-114	330.0	J9G6Y0	J9G6Y0_9ZZZZ	Chaperonin GroL	ATP binding [GO:0005524]; ATP-dependent protein folding chaperone [GO:0140662]; protein refolding [GO:0042026]			1.0	Chaperonin (HSP60) family	PF00118;
tr|J7QY30|J7QY30_ECOLX	A0A0H8QDR9	100.0	277	0	0	1	277	1	277	5.869999999999998e-199	553.0	A0A0H8QDR9	A0A0H8QDR9_SHISO	Sulfur carrier protein FdhD	cytoplasm [GO:0005737]; sulfur carrier activity [GO:0097163]; sulfurtransferase activity [GO:0016783]; Mo-molybdopterin cofactor biosynthetic process [GO:0006777]	FUNCTION: Required for formate dehydrogenase (FDH) activity. Acts as a sulfur carrier protein that transfers sulfur from IscS to the molybdenum cofactor prior to its insertion into FDH. {ECO:0000256|HAMAP-Rule:MF_00187}.		2.0	FdhD family	PF02634;
tr|J7Q6J5|J7Q6J5_ECOLX	J7Q6J5	100.0	546	0	0	1	546	1	546	0.0	1079.0	J7Q6J5	J7Q6J5_ECOLX	Phosphoglucomutase (EC 5.4.2.2)	cytosol [GO:0005829]; magnesium ion binding [GO:0000287]; phosphoglucomutase activity [GO:0004614]; carbohydrate metabolic process [GO:0005975]		5.4.2.2	2.0	Phosphohexose mutase family	PF02878;PF02879;PF02880;PF00408;
tr|J7LQP0|J7LQP0_SALET	J7LQP0	100.0	335	0	0	1	335	1	335	5.079999999999997e-245	675.0	J7LQP0	J7LQP0_SALET	Plasmid replication protein (Replication initiation protein)	DNA-directed DNA polymerase activity [GO:0003887]; DNA replication initiation [GO:0006270]			1.0	Initiator RepB protein family	PF21205;PF01051;
tr|J7LPI6|J7LPI6_SALET	A0A6Y5A9X3	100.0	359	0	0	1	359	1	359	1.1299999999999994e-235	653.0	A0A6Y5A9X3	A0A6Y5A9X3_SALET	TriE protein	membrane [GO:0016020]; protein secretion by the type IV secretion system [GO:0030255]			1.0		PF04610;
tr|J7J1V9|J7J1V9_DESMD	J7J1V9	100.0	255	0	0	1	255	1	255	2.0799999999999995e-172	484.0	J7J1V9	J7J1V9_DESMD	Short-chain alcohol dehydrogenase like protein	oxidoreductase activity [GO:0016491]			1.0	Short-chain dehydrogenases/reductases (SDR) family	PF00106;
tr|J6UBS2|J6UBS2_9RHOB	J6UBS2	100.0	913	0	0	1	913	1	913	0.0	1863.0	J6UBS2	J6UBS2_9RHOB	Xanthine dehydrogenase iron-sulfur subunit	2 iron, 2 sulfur cluster binding [GO:0051537]; iron ion binding [GO:0005506]; oxidoreductase activity [GO:0016491]			1.0	Xanthine dehydrogenase family	PF01315;PF00111;PF01799;PF02738;PF20256;
tr|J4KM59|J4KM59_BEAB2	J4KM59	100.0	127	0	0	1	127	1	127	3.4700000000000006e-51	171.0	J4KM59	J4KM59_BEAB2	DUF5648 domain-containing protein				1.0		PF18885;
tr|J3JFR1|J3JFR1_9EURY	J3JFR1	100.0	228	0	0	1	228	1	228	2.0299999999999994e-161	454.0	J3JFR1	J3JFR1_9EURY	TIGR00266 family protein				1.0		PF01987;
tr|J3C526|J3C526_FLASC	J3C526	100.0	1046	0	0	1	1046	1	1046	0.0	2066.0	J3C526	J3C526_FLASC	TonB-linked outer membrane protein, SusC/RagA family	cell outer membrane [GO:0009279]			1.0	TonB-dependent receptor family	PF13715;PF07715;PF00593;
tr|J2WTF7|J2WTF7_9BRAD	J2WTF7	100.0	2831	0	0	1	2831	1	2831	0.0	5495.0	J2WTF7	J2WTF7_9BRAD	RHS repeat-associated core domain protein containing protein				1.0		
tr|J2PJM2|J2PJM2_9BACL	J2PJM2	100.0	981	0	0	1	981	1	981	0.0	1820.0	J2PJM2	J2PJM2_9BACL	SbsA Ig-like domain-containing protein				1.0		PF13205;
tr|J1L3I8|J1L3I8_9EURY	J1L3I8	100.0	1011	0	0	1	1011	1	1011	0.0	1988.0	J1L3I8	J1L3I8_9EURY	von Willebrand factor type A				1.0	Intimin/invasin family	PF02369;PF13519;
tr|J1I3M7|J1I3M7_9BACT	J1I3M7	100.0	1360	0	0	1	1360	1	1360	0.0	2791.0	J1I3M7	J1I3M7_9BACT	T9SS C-terminal target domain-containing protein				1.0		
tr|J1HAK4|J1HAK4_CLOS9	J1HAK4	100.0	424	0	0	1	424	1	424	1.0999999999999993e-300	823.0	J1HAK4	J1HAK4_CLOS9	Enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (2-phosphoglycerate dehydratase)	cell surface [GO:0009986]; extracellular region [GO:0005576]; phosphopyruvate hydratase complex [GO:0000015]; magnesium ion binding [GO:0000287]; phosphopyruvate hydratase activity [GO:0004634]; glycolytic process [GO:0006096]	FUNCTION: Catalyzes the reversible conversion of 2-phosphoglycerate (2-PG) into phosphoenolpyruvate (PEP). It is essential for the degradation of carbohydrates via glycolysis. {ECO:0000256|HAMAP-Rule:MF_00318}.	4.2.1.11	3.0	Enolase family	PF00113;PF03952;
tr|J1H354|J1H354_CLOS9	J1H354	100.0	328	0	0	1	328	1	328	9.579999999999995e-226	625.0	J1H354	J1H354_CLOS9	Periplasmic binding protein and sugar binding domain of the LacI family protein	cell envelope [GO:0030313]; carbohydrate binding [GO:0030246]			1.0	Bacterial solute-binding protein 2 family	PF13407;
tr|J1H030|J1H030_CLOS9	J1H030	100.0	537	0	0	1	537	1	537	0.0	1019.0	J1H030	J1H030_CLOS9	ABC transporter, substrate-binding protein, family 5	ATP-binding cassette (ABC) transporter complex [GO:0043190]; periplasmic space [GO:0042597]; peptide transmembrane transporter activity [GO:1904680]; peptide transport [GO:0015833]			2.0	Bacterial solute-binding protein 5 family	PF00496;
tr|J0RY59|J0RY59_9EURY	J0RY59	100.0	568	0	0	1	568	1	568	0.0	1135.0	J0RY59	J0RY59_9EURY	Methyl-coenzyme M reductase subunit alpha (EC 2.8.4.1)	coenzyme-B sulfoethylthiotransferase activity [GO:0050524]; metal ion binding [GO:0046872]; methanogenesis [GO:0015948]	FUNCTION: Component of the methyl-coenzyme M reductase (MCR) I that catalyzes the reductive cleavage of methyl-coenzyme M (CoM-S-CH3 or 2-(methylthio)ethanesulfonate) using coenzyme B (CoB or 7-mercaptoheptanoylthreonine phosphate) as reductant which results in the production of methane and the mixed heterodisulfide of CoB and CoM (CoM-S-S-CoB). This is the final step in methanogenesis. {ECO:0000256|PIRNR:PIRNR000262}.	2.8.4.1	2.0	Methyl-coenzyme M reductase alpha subunit family	PF02249;PF02745;
tr|J0RY20|J0RY20_9EURY	J0RY20	100.0	280	0	0	1	280	1	280	5.599999999999998e-194	541.0	J0RY20	J0RY20_9EURY	F420-dependent methylenetetrahydromethanopterin dehydrogenase (MTD) (EC 1.5.98.1) (Coenzyme F420-dependent N5,N10-methylenetetrahydromethanopterin dehydrogenase)	ferredoxin hydrogenase activity [GO:0008901]; methylenetetrahydromethanopterin dehydrogenase activity [GO:0030268]; methanogenesis, from carbon dioxide [GO:0019386]; one-carbon metabolic process [GO:0006730]	FUNCTION: Catalyzes the reversible reduction of methenyl-H(4)MPT(+) to methylene-H(4)MPT. {ECO:0000256|HAMAP-Rule:MF_00058}.	1.5.98.1	2.0	MTD family	PF01993;
tr|J0HCT8|J0HCT8_RHILT	J0HCT8	100.0	490	0	0	1	490	1	490	0.0	972.0	J0HCT8	J0HCT8_RHILT	Peptidase U49				1.0		
tr|J0H612|J0H612_RHILT	J0H612	100.0	1574	0	0	1	1574	1	1574	0.0	3061.0	J0H612	J0H612_RHILT	Glutamate synthase family protein	3 iron, 4 sulfur cluster binding [GO:0051538]; glutamate synthase activity [GO:0015930]; metal ion binding [GO:0046872]; ammonia assimilation cycle [GO:0019676]; glutamate biosynthetic process [GO:0006537]			1.0	Glutamate synthase family	PF00310;PF04898;PF01645;PF01493;
tr|J0H608|J0H608_RHILT	J0H608	100.0	324	0	0	1	324	1	324	1.2299999999999996e-235	650.0	J0H608	J0H608_RHILT	Lysophospholipase				1.0		PF12146;
tr|J0GXF8|J0GXF8_RHILT	J0GXF8	100.0	997	0	0	1	997	1	997	0.0	1985.0	J0GXF8	J0GXF8_RHILT	Sarcosine oxidase, alpha subunit family, heterotetrameric form	sarcosine oxidase activity [GO:0008115]; tetrahydrofolate metabolic process [GO:0046653]			1.0	GcvT family	PF13510;PF01571;PF08669;PF07992;PF17806;
tr|J0GX79|J0GX79_RHILT	J0GX79	100.0	735	0	0	1	735	1	735	0.0	1552.0	J0GX79	J0GX79_RHILT	1,4-alpha-glucan branching enzyme GlgB (EC 2.4.1.18) (1,4-alpha-D-glucan:1,4-alpha-D-glucan 6-glucosyl-transferase) (Alpha-(1->4)-glucan branching enzyme) (Glycogen branching enzyme) (BE)	cytosol [GO:0005829]; 1,4-alpha-glucan branching enzyme activity [GO:0003844]; cation binding [GO:0043169]; hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]; glycogen biosynthetic process [GO:0005978]	FUNCTION: Catalyzes the formation of the alpha-1,6-glucosidic linkages in glycogen by scission of a 1,4-alpha-linked oligosaccharide from growing alpha-1,4-glucan chains and the subsequent attachment of the oligosaccharide to the alpha-1,6 position. {ECO:0000256|ARBA:ARBA00002953, ECO:0000256|HAMAP-Rule:MF_00685}.	2.4.1.18	3.0	Glycosyl hydrolase 13 family, GlgB subfamily	PF00128;PF02806;PF02922;PF22019;
tr|I9ZN41|I9ZN41_HELPX	I9ZN41	100.0	425	0	0	1	425	1	425	1.919999999999999e-306	838.0	I9ZN41	I9ZN41_HELPX	Transposase, IS605 OrfB family (EC 2.1.1.37)	DNA (cytosine-5-)-methyltransferase activity, acting on CpN substrates [GO:0051719]; DNA (cytosine-5-)-methyltransferase activity, acting on CpNpG substrates [GO:0051720]; DNA binding [GO:0003677]; metal ion binding [GO:0046872]; DNA recombination [GO:0006310]; methylation [GO:0032259]; transposition [GO:0032196]		2.1.1.37	2.0	Transposase 35 family	PF12323;PF01385;PF07282;
tr|I9XI41|I9XI41_RHILT	I9XI41	100.0	559	0	0	1	559	1	559	0.0	1116.0	I9XI41	I9XI41_RHILT	Glutamine-dependent NAD(+) synthetase (EC 6.3.5.1) (NAD(+) synthase [glutamine-hydrolyzing])	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; glutaminase activity [GO:0004359]; NAD+ synthase (glutamine-hydrolyzing) activity [GO:0003952]; NAD+ synthase activity [GO:0008795]; NAD biosynthetic process [GO:0009435]	FUNCTION: Catalyzes the ATP-dependent amidation of deamido-NAD to form NAD. Uses L-glutamine as a nitrogen source. {ECO:0000256|HAMAP-Rule:MF_02090}.	6.3.5.1	3.0	NAD synthetase family; NAD synthetase family	PF00795;PF02540;
tr|I9XHX8|I9XHX8_RHILT	I9XHX8	100.0	462	0	0	1	462	1	462	0.0	931.0	I9XHX8	I9XHX8_RHILT	Uncharacterized protein				1.0		
tr|I9X9A6|I9X9A6_RHILT	I9X9A6	100.0	314	0	0	1	314	1	314	2.4999999999999995e-214	595.0	I9X9A6	I9X9A6_RHILT	Uncharacterized protein				1.0	UPF0065 (bug) family	PF03401;
tr|I9X0J4|I9X0J4_RHILT	I9X0J4	100.0	352	0	0	1	352	1	352	1.0599999999999995e-202	569.0	I9X0J4	I9X0J4_RHILT	FecR protein domain-containing protein				1.0		PF04773;
tr|I9VHX8|I9VHX8_BACFG	I9VHX8	100.0	321	0	0	1	321	1	321	3.189999999999998e-250	687.0	I9VHX8	I9VHX8_BACFG	Uncharacterized protein				1.0		
tr|I9NFR2|I9NFR2_RHILT	I9NFR2	100.0	514	0	0	1	514	1	514	0.0	999.0	I9NFR2	I9NFR2_RHILT	DNA-binding transcriptional regulator NtrC (Nitrogen regulation protein NR(I)) (Nitrogen regulator I)	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; sequence-specific DNA binding [GO:0043565]; nitrogen fixation [GO:0009399]; phosphorelay signal transduction system [GO:0000160]; regulation of DNA-templated transcription [GO:0006355]	FUNCTION: Member of the two-component regulatory system NtrB/NtrC, which controls expression of the nitrogen-regulated (ntr) genes in response to nitrogen limitation. Phosphorylated NtrC binds directly to DNA and stimulates the formation of open promoter-sigma54-RNA polymerase complexes. {ECO:0000256|ARBA:ARBA00043886}.		2.0		PF02954;PF00072;PF00158;
tr|I9NCA8|I9NCA8_RHILT	I9NCA8	100.0	658	0	0	1	658	1	658	0.0	1173.0	I9NCA8	I9NCA8_RHILT	5'-nucleotidase/2',3'-cyclic phosphodiesterase-like hydrolase	metal ion binding [GO:0046872]; nucleotidase activity [GO:0008252]; nucleotide binding [GO:0000166]; nucleotide catabolic process [GO:0009166]			2.0	5'-nucleotidase family	PF02872;PF01476;PF00149;
tr|I9LEV0|I9LEV0_9FIRM	I9NPV6	100.0	91	0	0	1	91	1	91	2.3299999999999998e-51	165.0	I9NPV6	I9NPV6_9FIRM	Microcompartments protein	bacterial microcompartment [GO:0031469]			1.0	Bacterial microcompartments protein family, CsoS1 subfamily	PF00936;
tr|I9LC57|I9LC57_9FIRM	I9LC57	100.0	130	0	0	1	130	1	130	5.1399999999999995e-89	263.0	I9LC57	I9LC57_9FIRM	Desulfoferrodoxin ferrous iron-binding region	iron ion binding [GO:0005506]; oxidoreductase activity [GO:0016491]			1.0	Desulfoferrodoxin family	PF01880;
tr|I9KF72|I9KF72_9ACTN	I9KF72	100.0	130	0	0	1	130	1	130	2.26e-83	249.0	I9KF72	I9KF72_9ACTN	Uncharacterized protein				1.0		
tr|I9B541|I9B541_9FIRM	I9B541	100.0	912	0	0	1	912	1	912	0.0	1878.0	I9B541	I9B541_9FIRM	Aldehyde oxidase and xanthine dehydrogenase molybdopterin binding protein	2 iron, 2 sulfur cluster binding [GO:0051537]; iron ion binding [GO:0005506]; oxidoreductase activity [GO:0016491]			1.0	Xanthine dehydrogenase family	PF01315;PF00111;PF01799;PF02738;PF20256;
tr|I9ABI9|I9ABI9_9BACE	A0A3E4N937	100.0	537	0	0	1	537	1	537	0.0	1062.0	A0A3E4N937	A0A3E4N937_9BACE	SusD/RagB family nutrient-binding outer membrane lipoprotein				1.0		PF12771;
tr|I7LIY3|I7LIY3_METBM	I7LIY3	100.0	297	0	0	1	297	1	297	9.509999999999997e-215	595.0	I7LIY3	I7LIY3_METBM	Putative tungstate transport system substrate-binding protein				1.0		PF12849;
tr|I7K7D0|I7K7D0_9CLOT	I7K7D0	100.0	82	0	0	1	82	1	82	1.0799999999999999e-54	173.0	I7K7D0	I7K7D0_9CLOT	Uncharacterized protein				1.0		PF12635;
tr|I7EF02|I7EF02_GEOSL	I7EF02	100.0	234	0	0	1	234	1	234	7.589999999999998e-160	451.0	I7EF02	I7EF02_GEOSL	Uncharacterized protein				1.0		
tr|I7DA89|I7DA89_SALER	A0A8F7UVK9	100.0	579	0	0	1	579	1	579	0.0	1186.0	A0A8F7UVK9	A0A8F7UVK9_SALER	Arylsulfatase	arylsulfatase activity [GO:0004065]			1.0	Sulfatase family	PF00884;
tr|I7A3Y0|I7A3Y0_MELRP	I7A3Y0	100.0	1196	0	0	1	1196	1	1196	0.0	2370.0	I7A3Y0	I7A3Y0_MELRP	Pyruvate:ferredoxin oxidoreductase subunit alpha	4 iron, 4 sulfur cluster binding [GO:0051539]; iron ion binding [GO:0005506]; oxidoreductase activity, acting on the aldehyde or oxo group of donors [GO:0016903]; thiamine pyrophosphate binding [GO:0030976]; electron transport chain [GO:0022900]; response to oxidative stress [GO:0006979]			2.0	Pyruvate:ferredoxin/flavodoxin oxidoreductase family	PF10371;PF12838;PF17147;PF01558;PF01855;PF02775;
tr|I6XGE8|I6XGE8_9CAUD	I6XGE8	100.0	155	0	0	1	155	1	155	6.049999999999998e-100	293.0	I6XGE8	I6XGE8_9CAUD	Virion associated protein				1.0		
tr|I5C1K3|I5C1K3_9BACT	I5C1K3	100.0	1148	0	0	1	1148	1	1148	0.0	2246.0	I5C1K3	I5C1K3_9BACT	Peptidase S8 and S53 subtilisin kexin sedolisin	serine-type endopeptidase activity [GO:0004252]; proteolysis [GO:0006508]			1.0	Peptidase S8 family	PF00082;PF18962;
tr|I5B4X9|I5B4X9_9BACT	I5B4X9	100.0	533	0	0	1	533	1	533	0.0	1004.0	I5B4X9	I5B4X9_9BACT	Chaperonin GroEL (EC 5.6.1.7) (60 kDa chaperonin) (Chaperonin-60) (Cpn60)	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATP-dependent protein folding chaperone [GO:0140662]; isomerase activity [GO:0016853]; unfolded protein binding [GO:0051082]; protein refolding [GO:0042026]	FUNCTION: Together with its co-chaperonin GroES, plays an essential role in assisting protein folding. The GroEL-GroES system forms a nano-cage that allows encapsulation of the non-native substrate proteins and provides a physical environment optimized to promote and accelerate protein folding. {ECO:0000256|HAMAP-Rule:MF_00600, ECO:0000256|RuleBase:RU000419}.	5.6.1.7	3.0	Chaperonin (HSP60) family	PF00118;
